PanGenome Reference,Gene ID,Prokka Annotation,Interproscan  Annotation,Pan-GWAS,RFC,RFR,Mucilage Isolate State,Class
BCW-000270_00164,group_6073,hypothetical protein,"Phosphotransferase system, sucrose-specific IIBC component",+,+,-,+,Carbohydrate Transport
BCW-000270_02429,group_6284,hypothetical protein,TTHA1013/TTHA0281-like protein with speculated involvement in RNA metabolism,+,+,-,+,Unknown
BCW-200077_01391,group_764,hypothetical protein,No matches,+,+,-,+,No matches
BCW-000212_00151,group_298,hypothetical protein,Winged helix-like DNA-binding domain superfamily,+,+,-,-,DNA Modification
BCW-000212_01240,group_955,hypothetical protein,Protein of unknown function (DUF1140),+,+,-,-,Unknown
BCW-200077_01252,group_5543,hypothetical protein,No matches,+,+,-,+,No matches
BCW-000270_00669,yxeP_1,putative hydrolase YxeP,Amidohydrolase / bacterial exopeptidase,+,+,-,-,Peptidase
BCW-000270_02430,group_6285,Inner membrane protein YagU,Protein of unknown function (DUF1440),+,+,-,+,Unknown
BCW-000270_00677,group_6113,hypothetical protein,Intrinsically disordered protein,+,+,-,+,Disordered
BCW-200051_01662,group_3912,hypothetical protein,No matches,+,+,-,+,No matches
BCW-200077_01390,group_301,hypothetical protein,Winged helix-like DNA-binding domain superfamily,+,+,-,+,DNA Modification
BCW-000212_01940,group_4611,hypothetical protein,Periplasmic G3P-like solute binding protein,+,+,-,+,Cell Wall
BCW-000212_00156,group_1810,hypothetical protein,Protein of unknown function DUF722,+,+,-,-,Unknown
BCW-000212_01232,group_5879,hypothetical protein,Protein of unknown function (DUF722),+,+,-,-,Unknown
BCW-000270_01314,lacD,"Tagatose 1,6-diphosphate aldolase","lacD: tagatose 1,6-diphosphate aldolase",+,+,-,-,Carbohydrate
BCW-000270_01144,araD,L-ribulose-5-phosphate 4-epimerase AraD,L-Ribulose-5-phosphate 4-epimerase SGBE,+,+,-,+,Carbohydrate
BCW-000270_01316,lacB,Galactose-6-phosphate isomerase subunit LacB,"lacB: galactose-6-phosphate isomerase, LacB subunit",+,+,-,-,Carbohydrate
BCW-000212_00638,group_3091,hypothetical protein,No Matches,+,+,-,-,No matches
BCW-000270_01029,group_2666,hypothetical protein,No Matches,+,+,-,+,No matches
BCW-000270_02475,group_1288,Peptidoglycan-N-acetylglucosamine deacetylase,NodB-like chitooligosaccharide deacetylase,+,+,-,+,Cell Wall
BCW-000270_01315,lacC_1,Tagatose-6-phosphate kinase,lacC: tagatose-6-phosphate kinase,+,+,-,-,Carbohydrate
BCW-000271_00294,group_2103,Serine-pyruvate aminotransferase,Serine-pyruvate aminotransferase/2-aminoethylphosphonate-pyruvate transaminase,+,+,-,-,Transaminase
BCW-000271_02489,comEC_1,ComE operon protein 3,DNA recombination protein,+,+,-,-,DNA Modification
BCW-000270_01145,araB,Ribulokinase,Xylulose Kinase,+,+,-,+,Carbohydrate
BCW-000270_01076,group_2667,hypothetical protein,Domain of unknown function (DUF4395),+,+,-,+,Unknown
BCW-000270_00163,gmuE_1,Putative fructokinase,Transcriptional repressor MPRA,+,+,-,+,Transcription Factor
BCW-000270_01313,lacF_1,PTS system lactose-specific EIIA component,"EIIA-LAC: PTS system, lactose-specific IIa component",+,+,-,-,Carbohydrate Transport
BCW-000212_01604,licC,hypothetical protein,"lacE: PTS system, lactose/cellobiose family IIC component",+,+,-,+,Carbohydrate Transport
BCW-200077_01384,bltD,Spermine/spermidine acetyltransferase,Spermine/Spermidine acetyltransferase,+,+,-,+,Peptide
BCW-000271_01121,garK_1,Glycerate 2-kinase,Glycerate Kinase,+,+,-,-,Carbohydrate
BCW-000271_00111,rpiB,Ribose-5-phosphate isomerase B,rpiB: ribose 5-phosphate isomerase B,+,+,-,-,Carbohydrate
BCW-000212_00507,arcC1_3,Carbamate kinase 1,arcC: carbamate kinase,+,+,-,+,Phosphorylation
BCW-000212_00141,group_4010,hypothetical protein,Intrinsically disordered protein,+,+,-,-,Disordered
BCW-000212_00700,group_2401,hypothetical protein,Amino acid / polyamine permease transporter,+,+,-,+,Peptide
BCW-000212_01946,group_5437,hypothetical protein,"Alpha-1,2-mannosidase, putative / glycosyl hydrolase family 92",+,+,-,+,Carbohydrate
BCW-000212_00299,group_4070,hypothetical protein,No matches,+,+,-,-,No matches
BCW-000271_01364,group_6487,hypothetical protein,No matches,+,+,-,-,No matches
BCW-000270_01839,nhaK,hypothetical protein,"Cation/H+ exchanger, CPA1 family",+,+,-,+,Transport
BCW-000270_00618,group_624,hypothetical protein,Bacterial lectin / B-type Collagen-binding surface protein - Cna-like,+,+,-,+,Cell Wall
BCW-000212_00505,group_4133,hypothetical protein,ArsR-type transcriptional regulatory protein,+,+,-,+,Transcription Factor
BCW-000270_01147,araR_1,Arabinose metabolism transcriptional repressor,Arabinose metabolism transcriptional repressor,+,+,-,+,Transcription Factor
BCW-000212_01936,group_1219,hypothetical protein,Extracellular galactose binding protein,+,+,-,+,Cell Wall
BCW-000271_01472,group_4996,hypothetical protein,DNA/RNA non-specific endonuclease,+,+,-,-,DNA Modification
BCW-000631_01708,group_894,Cold shock protein 2,"Cold-shock protein, DNA-binding",+,+,-,+,DNA Modification
BCW-000608_01917,xerD_2,Tyrosine recombinase XerD,Integrase,+,-,+,+,DNA Modification
BCW-200051_01425,group_8253,hypothetical protein,Major facilitator superfamily (MFS) transporter,+,-,+,+,Transport
BCW-200077_02286,group_5560,hypothetical protein,YxeA-like superfamily protein of unknown function DUF1093,+,-,+,+,Unknown
BCW-200077_00351,group_173,hypothetical protein,Bacteriophage peptidoglycan hydrolase / lysin,+,-,+,+,Carbohydrate
BCW-200077_01388,group_2965,hypothetical protein,Intrinsically disordered protein,+,-,+,+,Disordered
BCW-000631_01217,group_7799,Lactose transport system permease protein LacF,Binding-protein-dependent Metl-like inner membrane ABC transporter type 1,+,-,+,+,Transport
BCW-000212_00650,group_3096,hypothetical protein,No Matches,-,+,+,+,No matches
BCW-200158_00364,group_5625,Type I restriction enzyme EcoR124II R protein,Type I restriction endonuclease,-,+,+,+,DNA Modification
BCW-000631_01694,group_7846,hypothetical protein,Protein of unknown function DUF1275,-,+,+,+,Unknown
BCW-000212_01408,rbsA,Ribose import ATP-binding protein RbsA,D-allose import ABC transporter,-,+,+,+,Carbohydrate Transport
BCW-200051_00183,group_8177,Acetyl esterase,Arylacetamide deacetylase ,-,+,+,+,Cytosolic metabolism
BCW-000631_00960,group_2949,hypothetical protein,intrinsically disordered protein,-,+,+,+,Disordered
BCW-200158_01930,gtf1,Glycosyltransferase Gtf1,TIGR02918: accessory Sec system glycosylation protein GtfA / GT1,-,+,+,+,Carbohydrate
BCW-200051_00189,group_3903,Sugar transporter SemiSWEET,Membrane-bound protein with PQ-loop repeats,-,+,+,+,Unknown
BCW-200051_01101,group_3907,hypothetical protein,No matches,-,+,+,+,No matches
BCW-200051_00194,gmuB,PTS system oligo-beta-mannoside-specific EIIB component,"PTS system N,N'-diacetylchitobiose-specific EIIB component ",-,+,+,+,Carbohydrate Transport
BCW-000631_01628,group_7841,Teichoic acid translocation permease protein TagG,Inner membrane ABC -2 type transport permease ,-,+,+,+,Cell Wall Transport
BCW-200158_00223,group_8868,hypothetical protein,peptidoglycan-bound (lpxtg motif) mucin-binding protein,-,+,+,+,Cell Wall
BCW-200051_00192,group_3905,hypothetical protein,Outer surface protein with aldolase and peptidyl-prolyl isomerase domains,-,+,+,+,Cell Wall
BCW-000212_01926,group_2588,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,-,+,+,+,Carbohydrate
BCW-200158_00228,group_8871,hypothetical protein,No Matches,-,+,+,+,No matches
BCW-200158_00359,group_5624,hypothetical protein,Fido-domain containing AMP-protein transferase,-,+,+,+,Peptide
BCW-200051_01097,group_5490,hypothetical protein,Haemolysin XhlA,-,+,+,+,Virulence
BCW-200158_00220,group_8866,hypothetical protein,Mga helix-turn-helix domain containing DNA binding protein,-,+,+,+,DNA Binding
